condition,configured_budget,method,seed,target,first_hit_in_this_trace,right_censored,censor_at
budget_b4,4,Random,0,0.95,,True,4
budget_b4,4,Random,0,0.99,,True,4
budget_b4,4,Random,1,0.95,,True,4
budget_b4,4,Random,1,0.99,,True,4
budget_b4,4,Random,2,0.95,,True,4
budget_b4,4,Random,2,0.99,,True,4
budget_b4,4,Random,3,0.95,,True,4
budget_b4,4,Random,3,0.99,,True,4
budget_b4,4,Random,4,0.95,,True,4
budget_b4,4,Random,4,0.99,,True,4
budget_b4,4,Random,5,0.95,,True,4
budget_b4,4,Random,5,0.99,,True,4
budget_b4,4,Random,6,0.95,,True,4
budget_b4,4,Random,6,0.99,,True,4
budget_b4,4,Random,7,0.95,,True,4
budget_b4,4,Random,7,0.99,,True,4
budget_b4,4,Random,8,0.95,,True,4
budget_b4,4,Random,8,0.99,,True,4
budget_b4,4,Random,9,0.95,,True,4
budget_b4,4,Random,9,0.99,,True,4
budget_b4,4,Random,10,0.95,,True,4
budget_b4,4,Random,10,0.99,,True,4
budget_b4,4,Random,11,0.95,,True,4
budget_b4,4,Random,11,0.99,,True,4
budget_b4,4,Greedy,0,0.95,,True,4
budget_b4,4,Greedy,0,0.99,,True,4
budget_b4,4,Greedy,1,0.95,,True,4
budget_b4,4,Greedy,1,0.99,,True,4
budget_b4,4,Greedy,2,0.95,,True,4
budget_b4,4,Greedy,2,0.99,,True,4
budget_b4,4,Greedy,3,0.95,,True,4
budget_b4,4,Greedy,3,0.99,,True,4
budget_b4,4,Greedy,4,0.95,,True,4
budget_b4,4,Greedy,4,0.99,,True,4
budget_b4,4,Greedy,5,0.95,,True,4
budget_b4,4,Greedy,5,0.99,,True,4
budget_b4,4,Greedy,6,0.95,,True,4
budget_b4,4,Greedy,6,0.99,,True,4
budget_b4,4,Greedy,7,0.95,,True,4
budget_b4,4,Greedy,7,0.99,,True,4
budget_b4,4,Greedy,8,0.95,,True,4
budget_b4,4,Greedy,8,0.99,,True,4
budget_b4,4,Greedy,9,0.95,,True,4
budget_b4,4,Greedy,9,0.99,,True,4
budget_b4,4,Greedy,10,0.95,,True,4
budget_b4,4,Greedy,10,0.99,,True,4
budget_b4,4,Greedy,11,0.95,,True,4
budget_b4,4,Greedy,11,0.99,,True,4
budget_b4,4,LLM-Open,0,0.95,,True,4
budget_b4,4,LLM-Open,0,0.99,,True,4
budget_b4,4,LLM-Open,1,0.95,,True,4
budget_b4,4,LLM-Open,1,0.99,,True,4
budget_b4,4,LLM-Open,2,0.95,,True,4
budget_b4,4,LLM-Open,2,0.99,,True,4
budget_b4,4,LLM-Open,3,0.95,,True,4
budget_b4,4,LLM-Open,3,0.99,,True,4
budget_b4,4,LLM-Open,4,0.95,,True,4
budget_b4,4,LLM-Open,4,0.99,,True,4
budget_b4,4,LLM-Open,5,0.95,,True,4
budget_b4,4,LLM-Open,5,0.99,,True,4
budget_b4,4,LLM-Open,6,0.95,,True,4
budget_b4,4,LLM-Open,6,0.99,,True,4
budget_b4,4,LLM-Open,7,0.95,,True,4
budget_b4,4,LLM-Open,7,0.99,,True,4
budget_b4,4,LLM-Open,8,0.95,,True,4
budget_b4,4,LLM-Open,8,0.99,,True,4
budget_b4,4,LLM-Open,9,0.95,,True,4
budget_b4,4,LLM-Open,9,0.99,,True,4
budget_b4,4,LLM-Open,10,0.95,,True,4
budget_b4,4,LLM-Open,10,0.99,,True,4
budget_b4,4,LLM-Open,11,0.95,,True,4
budget_b4,4,LLM-Open,11,0.99,,True,4
budget_b4,4,LLM-Closed,0,0.95,3,False,
budget_b4,4,LLM-Closed,0,0.99,,True,4
budget_b4,4,LLM-Closed,1,0.95,,True,4
budget_b4,4,LLM-Closed,1,0.99,,True,4
budget_b4,4,LLM-Closed,2,0.95,,True,4
budget_b4,4,LLM-Closed,2,0.99,,True,4
budget_b4,4,LLM-Closed,3,0.95,,True,4
budget_b4,4,LLM-Closed,3,0.99,,True,4
budget_b4,4,LLM-Closed,4,0.95,,True,4
budget_b4,4,LLM-Closed,4,0.99,,True,4
budget_b4,4,LLM-Closed,5,0.95,2,False,
budget_b4,4,LLM-Closed,5,0.99,,True,4
budget_b4,4,LLM-Closed,6,0.95,1,False,
budget_b4,4,LLM-Closed,6,0.99,,True,4
budget_b4,4,LLM-Closed,7,0.95,4,False,
budget_b4,4,LLM-Closed,7,0.99,,True,4
budget_b4,4,LLM-Closed,8,0.95,4,False,
budget_b4,4,LLM-Closed,8,0.99,,True,4
budget_b4,4,LLM-Closed,9,0.95,4,False,
budget_b4,4,LLM-Closed,9,0.99,,True,4
budget_b4,4,LLM-Closed,10,0.95,2,False,
budget_b4,4,LLM-Closed,10,0.99,,True,4
budget_b4,4,LLM-Closed,11,0.95,1,False,
budget_b4,4,LLM-Closed,11,0.99,1,False,
reference,8,Random,0,0.95,7,False,
